id	x	y	cluster	weight<Links>	weight<Total link strength>
wilhelm archipelago	1.1109	0.0447	2	3	3
wilkes land	1.0592	-0.0261	5	40	321
wilkins ice shelf	1.1158	0.0244	2	11	33
windmill islands	1.0797	-0.0285	5	16	90
winter quarters bay	0.843	-0.0133	8	3	9
wood bay	-0.0259	-0.0183	8	14	52
wordie ice shelf	1.1597	0.0307	2	7	19
wrangel island	-0.8697	-0.0819	6	61	310
young sound	-0.3044	0.0556	13	14	83
yukagir	-0.7723	-0.0534	19	4	7
yukon	-0.6145	-0.0585	1	70	636
zackenberg	-0.3858	0.0565	13	18	148
zapolyarny	-0.9845	0.0014	3	2	2
zavodovski island	1.1808	0.0225	2	6	8
zhokhov island	-0.9632	-0.0916	6	12	26
