id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<no patents>	score<평균출원연도>	weight<출원인국가 미국>	weight<출원인국가 중국>	weight<출원인국가 대한민국>	weight<출원인기관 DAEWOO>	weight<출원인기관 KIOST>	weight<출원인기관 CONOCOPHILLIPS>	weight<출원인기관 PRIC>	weight<출원인기관 AWI>
essential oil	Essential Oil	-0.453	0.0198	2	72	466	17	2011.941176	0	8.176100629	0	0	0	0	0	0
esterase	Esterase	-0.4698	-0.1796	3	19	60	5	2017.4	0	2.51572327	0.653594771	0	2.127659574	0	0	0
ethanol	Ethanol	-0.4565	0.0049	2	71	372	20	2013.8	0	4.402515723	0	0	0	0	0	0
ethanol solution	Ethanol Solution	-0.3976	0.031	2	41	154	8	2014.25	0	1.886792453	0	0	0	0	0	0
Euphausia superba	Euphausia Superba	-0.8387	-0.3985	3	31	184	6	2006.833333	1.19047619	0.628930818	0.653594771	0	0	0	0	0
evaporator	Evaporator	-0.2334	0.0225	2	48	158	11	2010.272727	0	1.886792453	0.653594771	1.587301587	0	0	0	0
expression vector	Expression Vector	-0.7124	-0.2778	3	26	146	9	2013.111111	0	1.257861635	0.653594771	0	2.127659574	0	0	0
exterior	Exterior	0.2953	0.046	9	19	170	14	2011.071429	1.785714286	0	6.535947712	14.28571429	0	0	0	0
extraction rate	Extraction Rate	-0.4932	-0.0642	2	35	98	6	2017.166667	0	1.886792453	0	0	0	0	0	0
fast	Fast	-0.4832	-0.1007	3	49	128	12	2014.333333	0	1.257861635	0.653594771	0	0	0	0	0
fatty acid	Fatty Acid	-0.4823	-0.1058	2	24	66	5	2013.6	0	0.628930818	0	0	0	0	0	0
fatty oils	Fatty Oils	-0.4376	0.0202	2	66	446	15	2011.266667	0	8.176100629	0	0	0	0	0	0
fatty substances	Fatty Substances	-0.4378	0.0192	2	66	446	15	2011.266667	0	8.176100629	0	0	0	0	0	0
feeds	Feeds	-0.5479	-0.0462	2	59	212	11	2017	0	1.257861635	0	0	0	0	2.941176471	0
fermented soybean meal	Fermented Soybean Meal	-0.6558	-0.0606	2	26	72	5	2018.6	0	1.886792453	0	0	0	0	0	0
fermenting	Fermenting	-0.5829	-0.132	2	85	264	19	2013.736842	0.595238095	5.031446541	0	0	0	0	2.941176471	0
film	Film	-0.2177	-0.0364	2	35	72	5	2010	0	0.628930818	0.653594771	0	0	0	0	0
fish	Fish	-0.4349	-0.05	2	74	298	23	2015.086957	0	5.660377358	0	0	0	0	0	5.263157895
fish meal	Fish Meal	-0.6206	-0.0313	2	51	272	14	2015.571429	0	1.257861635	0	0	0	0	0	0
fish oil	Fish Oil	-0.5757	-0.0204	2	71	368	19	2016.526316	0	1.886792453	0	0	0	0	0	0
fishy smell	Fishy Smell	-0.5107	-0.0388	2	48	124	8	2015.75	0	0	0	0	0	0	0	0
flexibility	Flexibility	0.2377	-0.0355	4	19	64	7	2009.857143	1.785714286	0	0.653594771	0	0	0	0	0
Floating Arctic Vessel	Floating Arctic Vessel	0.6807	-0.1259	4	18	180	5	2010.6	2.976190476	0	0	0	0	0	0	0
floating drilling unit	Floating Drilling Unit	0.572	-0.0868	4	11	76	6	2012	3.571428571	0	0	0	0	0	0	0
floating platform	Floating Platform	0.3011	-0.0777	1	40	150	9	2009.444444	1.785714286	0	0	0	0	5.263157895	0	0
floating vessel	Floating Vessel	0.7051	-0.1282	4	23	268	9	2010.222222	3.571428571	0	0	0	0	0	0	0
floor	Floor	0.1129	-0.2504	6	17	114	6	2008.166667	0	0.628930818	0	0	0	0	0	0
flow	Flow	-0.0581	-0.033	1	60	164	11	2015.272727	0	0	1.960784314	4.761904762	0	0	2.941176471	0
fluid	Fluid	-0.1433	-0.2909	6	70	384	16	2000.75	2.976190476	0.628930818	0.653594771	1.587301587	0	0	0	0
fluid communication	Fluid Communication	0.519	-0.0848	4	8	64	6	2011	3.571428571	0	0	0	0	0	0	0
fluorin content	Fluorin Content	-0.5183	-0.0688	2	49	154	9	2015.555556	0	1.257861635	0	0	0	0	0	0
fluorine	Fluorine	-0.5012	-0.081	2	38	102	6	2015.5	0	0.628930818	0	0	0	0	0	0
food	Food	-0.5147	-0.1086	2	69	222	18	2013.555556	0	4.402515723	1.307189542	0	2.127659574	0	0	0
food processing	Food Processing	-0.8439	-0.3851	3	56	390	14	2010	2.380952381	0	0	0	0	0	0	0
foodstuff	Foodstuff	-0.4392	-0.089	2	47	120	7	2010.714286	0.595238095	2.51572327	0	0	0	0	0	0
force	Force	0.0786	-0.0447	1	28	100	11	2010.909091	1.19047619	0.628930818	0	0	0	0	0	10.52631579
formula	Formula	-0.5572	-0.0381	2	54	172	12	2015.916667	0	0	0	0	0	0	2.941176471	0
FOX	Fox	-0.4144	-0.0622	2	18	50	7	2012.857143	0	1.886792453	0	0	0	0	0	0
frame	Frame	0.013	-0.0552	1	19	48	6	2007	0	0	0	0	0	0	2.941176471	0
freezing process	Freezing Process	-0.3592	-0.4017	6	22	196	6	1991.166667	2.380952381	0	0	0	0	0	0	0
fresh antarctic krill	Fresh Antarctic Krill	-0.4533	-0.0429	2	50	160	7	2013.714286	0	1.257861635	0	0	0	0	0	0
fresh water	Fresh Water	0.0371	0.0556	1	22	46	6	2011.666667	0	1.257861635	1.307189542	3.174603175	0	0	0	0
fuel	Fuel	0.1317	0.9652	10	57	556	18	2007	1.19047619	0	1.960784314	3.174603175	0	0	0	0
functional food	Functional Food	-1.0226	-0.0215	5	38	248	19	2012	0	1.257861635	6.535947712	0	27.65957447	0	0	0
G PORTLAND MICRO-CEMENT	G Portland Micro-Cement	0.445	0.274	4	6	40	5	1998.6	0.595238095	0	0	0	0	0	0	0
GAS AGITATED ICE PREVENTION	Gas Agitated Ice Prevention	3.1724	-0.2117	8	20	200	5	2011	2.380952381	0	0	0	0	10.52631579	0	0
GAS AGITATION	Gas Agitation	3.1211	-0.2146	8	21	190	5	2011	2.380952381	0	0	0	0	10.52631579	0	0
GAS GUIDE PLATE	Gas Guide Plate	-0.6959	0.8043	4	9	90	5	2016	0	0	0	0	0	0	0	0
GAS INLET	Gas Inlet	-0.696	0.8045	4	9	90	5	2016	0	0	0	0	0	0	0	0
GAS MIXED JOINT	Gas Mixed Joint	-0.6959	0.8047	4	9	90	5	2016	0	0	0	0	0	0	0	0
gas well	Gas Well	1.2606	-0.1851	7	40	502	20	2006.2	5.952380952	0	0.653594771	0	0	0	0	0
gene	Gene	-0.5261	-0.183	3	49	196	20	2011.9	0.595238095	6.289308176	2.614379085	0	6.382978723	0	0	0
genetic engineering	Genetic Engineering	-0.588	-0.1938	3	51	214	14	2009.071429	1.19047619	5.031446541	0.653594771	0	0	0	0	0
glacier	Glacier	-0.2991	0.6407	5	27	266	10	2009.8	0	1.257861635	3.267973856	0	0	0	0	0
global environmental revival movement	Global Environmental Revival Movement	-0.357	0.7403	5	17	238	7	2009	0	0	3.267973856	0	0	0	0	0
global peace movement	Global Peace Movement	-0.3587	0.7403	5	17	238	7	2009	0	0	3.267973856	0	0	0	0	0
global warming	Global Warming	-0.3414	0.7171	5	21	250	8	2009.125	0	0	3.267973856	0	0	0	0	0
glycol	Glycol	-0.27	-0.0344	1	7	38	5	2009	1.19047619	0	0	0	0	0	0	0
green	Green	-0.4788	-0.0745	2	60	214	12	2016	0	3.144654088	0	0	0	0	0	0
growth	Growth	-0.4903	-0.0651	2	76	290	17	2014.705882	0	3.144654088	0.653594771	0	2.127659574	0	0	0
health	Health	-0.3248	-0.0455	2	45	108	7	2013.714286	0	0.628930818	0.653594771	0	0	0	0	0
heat exchange	Heat Exchange	0.0147	0.0066	1	64	232	17	2014.117647	0	1.257861635	5.22875817	11.11111111	0	0	0	0
heat insulation	Heat Insulation	-0.1942	-0.0831	3	17	74	7	2002.571429	0	0.628930818	0.653594771	0	0	0	0	0
heater	Heater	0.0858	-0.009	1	28	86	10	2013.5	0.595238095	0	5.22875817	9.523809524	0	0	0	0
heating device	Heating Device	0.0556	-0.0041	1	22	62	7	2012.857143	0	0	1.960784314	3.174603175	0	0	0	0
height	Height	1.072	-0.4574	7	60	646	19	2008.631579	2.976190476	0	0	0	0	0	0	0
hemorrhoids	Hemorrhoids	-0.335	-0.0502	1	12	70	6	2002.333333	1.19047619	0	0	0	0	0	0	0
hesuelica	Hesuelica	-0.5981	-0.1818	3	8	48	6	1997	0	0	0	0	0	0	0	0
high efficiency	High Efficiency	-0.3807	-0.096	2	60	144	9	2014.555556	0	3.144654088	0	0	0	0	0	5.263157895
high purity	High Purity	-0.36	-0.0121	2	28	58	5	2016.2	0	0	0	0	0	0	0	0
high quality	High Quality	-0.2587	-0.0521	2	34	100	5	2012.2	0	1.886792453	0	0	0	0	0	0
high safety	High Safety	-0.6629	0.6902	4	30	140	9	2014.666667	0	1.257861635	0	0	0	0	0	0
high temperature	High Temperature	-0.3721	-0.0874	3	40	100	9	2016.888889	0	2.51572327	0	0	0	0	0	0
higher efficiency	Higher Efficiency	0.2471	-0.0052	1	23	68	5	2003.8	0	0	0	0	0	0	0	0
higher safety	Higher Safety	0.2307	-0.0862	1	29	96	5	2011.2	0	0	0	0	0	0	0	0
hole	Hole	0.1667	-0.0635	1	43	140	11	2009.818182	0	0	1.307189542	1.587301587	0	0	0	0
homogenate	Homogenate	-0.4821	-0.0415	2	48	140	9	2015.555556	0	1.886792453	0	0	0	0	0	0
honeycomb-like compartments	Honeycomb-Like Compartments	0.129	-0.2636	6	13	120	5	2007.4	0	0	0	0	0	0	0	0
host cells	Host Cells	-0.9245	-0.4786	3	28	404	13	2008.307692	2.380952381	0.628930818	0	0	0	0	2.941176471	0
hot water	Hot Water	-0.0938	-0.0257	1	24	52	5	2015.8	0	0.628930818	1.307189542	3.174603175	0	0	0	0
HOUSE	House	-0.0671	-0.0005	1	39	146	13	2005.769231	0	0	1.960784314	0	0	0	0	15.78947368
hull	Hull	1.3014	-0.0795	8	126	2190	87	2010.908046	22.61904762	0	9.150326797	17.46031746	0	78.94736842	0	0
human	Human	-0.3858	-0.169	6	54	206	13	2003.923077	1.785714286	0.628930818	0	0	0	0	2.941176471	0
human body	Human Body	-0.5082	-0.0549	2	72	204	12	2014.75	0	1.257861635	0	0	0	0	0	0
hydraulic steering arrangement	Hydraulic Steering Arrangement	0.5805	-0.0182	4	5	50	5	2011	0	0	0	0	0	0	0	0
hydraulic steering motor	Hydraulic Steering Motor	0.5806	-0.0182	4	5	50	5	2011	0	0	0	0	0	0	0	0
hydrocarbon	Hydrocarbon	0.0336	-0.0572	1	44	100	7	2010.571429	0.595238095	0.628930818	0	0	0	0	0	0
hydrocarbon-bearing formation	Hydrocarbon-Bearing Formation	0.9351	0.0408	4	9	74	5	2016.2	0	0	0	0	0	0	0	0
hydrogen	Hydrogen	-0.2063	0.0472	1	33	96	7	2013	0	2.51572327	0	0	0	0	0	0
HYPERTHERMAL TEMPERATURE	Hyperthermal Temperature	-0.3608	-0.4013	6	22	196	6	1991.166667	2.380952381	0	0	0	0	0	0	0
ice	Ice	0.878	-0.051	8	170	2732	128	2010	24.4047619	0.628930818	4.575163399	7.936507937	0	81.57894737	0	0
ice bending surface	Ice Bending Surface	2.8861	-0.1918	8	37	1682	48	2011.104167	19.04761905	0	0	0	0	78.94736842	0	0
ice breaker	Ice Breaker	0.1803	-0.0552	1	48	186	9	2006.777778	0	0	0.653594771	0	0	0	0	0
ICE CLASS	Ice Class	2.3812	-0.1675	8	25	268	8	2011	0	0	0	0	0	0	0	0
ice coating	Ice Coating	-0.6957	0.8048	4	9	90	5	2016	0	0	0	0	0	0	0	0
ice condition	Ice Condition	2.1401	-0.1445	8	67	1834	61	2011.672131	22.02380952	0	0	0	0	84.21052632	0	0
ice core	Ice Core	-0.0742	-0.0477	1	19	40	5	2016.4	0	0	0	0	0	0	8.823529412	0
ice cover	Ice Cover	0.4006	-0.0045	9	53	244	12	2007.25	1.785714286	0	0	0	0	0	0	0
ice defensive configuration	Ice Defensive Configuration	2.8849	-0.1946	8	37	1682	48	2011.104167	19.04761905	0	0	0	0	78.94736842	0	0
ice floe	Ice Floe	0.3408	0.0005	4	29	110	10	2013	3.571428571	0	0.653594771	0	0	7.894736842	0	0
ICE FRAGMENT	Ice Fragment	0.1564	-0.0293	1	38	122	6	2006.333333	0	0	0	0	0	0	0	0
ice load	Ice Load	0.4852	0.0038	9	37	182	10	2008.8	1.785714286	0	0	0	0	0	0	0
ICE PREVENTION	Ice Prevention	3.1711	-0.212	8	20	200	5	2011	2.380952381	0	0	0	0	10.52631579	0	0
ICE PRONE LOCATION	Ice Prone Location	2.8837	-0.1925	8	37	1682	48	2011.104167	19.04761905	0	0	0	0	78.94736842	0	0
ICE SHIELD	Ice Shield	3.114	-0.2137	8	22	262	7	2011	3.571428571	0	0	0	0	13.15789474	0	0
ice surface	Ice Surface	0.1868	-0.0416	1	23	48	6	2015.833333	0	1.886792453	0	0	0	0	5.882352941	0
ice water	Ice Water	-0.3094	-0.0101	1	18	44	6	2015.833333	0	0.628930818	0	0	0	0	0	0
ice worthy jack	Ice Worthy Jack	2.8388	-0.1953	8	27	736	21	2011.095238	7.142857143	0	0	0	0	47.36842105	0	0
ice worthy jack-up	Ice Worthy Jack-Up	2.9213	-0.1907	8	32	946	27	2011.111111	11.9047619	0	0	0	0	31.57894737	0	0
ICE WORTHY JACK-UP DRILLING UNIT	Ice Worthy Jack-Up Drilling Unit	3.0538	-0.2064	8	27	1128	31	2011	14.88095238	0	0	0	0	60.52631579	0	0
iceberg	Iceberg	0.2301	-0.0407	1	45	132	9	2011.111111	0.595238095	0	0.653594771	1.587301587	0	2.631578947	0	0
icebreaker	Icebreaker	0.1933	-0.0389	1	24	56	7	2015.571429	0	1.257861635	1.307189542	1.587301587	0	0	0	0
IMMUNE DISEASE CONTAINING RAMALIN	Immune Disease Containing Ramalin	-1.5059	0.1415	5	19	276	8	2011.375	0	0	4.575163399	0	14.89361702	0	0	0
immune diseases	Immune Diseases	-1.5045	0.1426	5	19	276	8	2011.375	0	0	4.575163399	0	14.89361702	0	0	0
immunity	Immunity	-0.5837	-0.0444	2	80	384	22	2015.909091	0	0.628930818	0	0	0	0	0	0
IMPROVED PLATFORM FLOOR PLAN	Improved Platform Floor Plan	1.6023	-0.7077	7	22	546	13	2008.461538	2.976190476	0	0	0	0	0	0	0
impurity	Impurity	-0.3603	-0.0098	2	59	190	13	2011.076923	0.595238095	2.51572327	0	0	0	0	0	0
industrial contexts	Industrial Contexts	-0.9269	-0.4807	3	27	402	12	2007.416667	2.380952381	0	0	0	0	0	0	0
industry	Industry	-0.5918	-0.1825	3	71	222	14	2010.142857	0.595238095	1.257861635	1.307189542	0	2.127659574	0	0	0
inflammation	Inflammation	-0.4939	-0.0974	1	21	80	6	2000.666667	0.595238095	0.628930818	0	0	0	0	0	0
INFLAMMATORY DISEASE	Inflammatory Disease	-1.505	0.1402	5	19	276	8	2011.375	0	0	4.575163399	0	14.89361702	0	0	0
information	Information	0.1626	-0.0148	1	24	56	6	2012.666667	1.19047619	1.257861635	0	0	0	5.263157895	0	0
ingredient	Ingredient	-0.4995	-0.0621	2	49	126	9	2015.888889	0	1.257861635	0	0	0	0	2.941176471	0
inside	Inside	0.0875	-0.0289	1	72	176	13	2011	0.595238095	0	3.267973856	6.349206349	0	0	2.941176471	0
instrument	Instrument	-0.1708	-0.007	1	22	72	9	2010.777778	1.19047619	0.628930818	0	0	0	0	2.941176471	0
INTERCONNECTED PLATFORM MODULE	Interconnected Platform Module	1.5814	-0.2404	7	21	414	14	2003.357143	3.571428571	0	0	0	0	0	0	0
INTERLOCKED PLATFORM MODULE	Interlocked Platform Module	1.6082	-0.707	7	22	546	13	2008.461538	2.976190476	0	0	0	0	0	0	0
INTERLOCKING NEIGHBORING PLATFORM MODULE	Interlocking Neighboring Platform Module	1.6028	-0.7055	7	22	546	13	2008.461538	2.976190476	0	0	0	0	0	0	0
intersections	Intersections	1.608	-0.7047	7	22	546	13	2008.461538	2.976190476	0	0	0	0	0	0	0
key mediator	Key Mediator	-1.4971	0.1379	5	18	180	5	2011.6	0	0	2.614379085	0	8.510638298	0	0	0
Korea	Korea	-0.359	0.7411	5	17	238	7	2009	0	0	3.267973856	0	0	0	0	0
krill	Krill	-0.4455	-0.0375	2	173	1386	89	2013.550562	0	20.12578616	0.653594771	0	0	0	0	0
krill meal	Krill Meal	-0.5579	-0.0268	2	25	66	5	2014	0	0	0	0	0	0	0	0
krill oil	Krill Oil	-0.4546	-0.007	2	120	868	54	2014.944444	0	10.06289308	0	0	0	0	0	0
krill powder	Krill Powder	-0.423	-0.0181	2	102	420	21	2014.47619	0	3.144654088	0	0	0	0	0	0
krill protein	Krill Protein	-0.4293	-0.0472	2	38	110	7	2016.285714	0	3.144654088	0	0	0	0	0	0
KRILL PROTEIN POWDER	Krill Protein Powder	-0.4651	0.0034	2	32	92	5	2014.4	0	1.886792453	0	0	0	0	0	0
KRILL SHELL	Krill Shell	-0.4242	-0.0726	2	41	136	8	2015.875	0	1.257861635	0	0	0	0	0	0
lake	Lake	-0.1497	0.0073	1	19	58	7	2008.428571	1.785714286	0	0.653594771	0	0	0	0	0
larva	Larva	-0.3899	-0.1103	3	13	64	7	2010.857143	0	1.886792453	0	0	0	0	0	0
latitude	Latitude	0.1561	1.3392	10	28	476	12	2005.833333	1.19047619	0	0	0	0	0	0	0
laundry detergents	Laundry Detergents	-0.959	-0.5042	3	22	312	9	2006.555556	2.380952381	0	0	0	0	0	0	0
leg	Leg	2.3144	-0.203	8	65	1978	63	2009.968254	20.23809524	1.257861635	0.653594771	0	0	73.68421053	5.882352941	0
length	Length	0.6105	-0.0185	5	73	1080	32	2009.15625	5.952380952	1.257861635	3.267973856	0	0	0	5.882352941	0
light	Light	0.0142	0.8471	10	67	578	20	2007.85	1.19047619	1.257861635	1.307189542	0	0	0	0	10.52631579
linkage	Linkage	0.6684	-0.1255	4	20	248	8	2011.875	2.976190476	0	0	0	0	0	0	0
lipase	Lipase	-0.4933	-0.1858	3	25	60	7	2011.428571	0	1.257861635	1.960784314	0	6.382978723	0	0	0
liquefied natural gas	Liquefied Natural Gas	0.0049	0.0393	1	39	146	8	2017.375	0	0	1.307189542	3.174603175	0	0	0	0
liquid	Liquid	-0.3005	-0.1592	6	145	682	38	2006.710526	3.571428571	2.51572327	0	0	0	0	0	5.263157895
low temperature	Low Temperature	-0.3097	-0.0628	3	110	362	27	2009.851852	0	3.144654088	3.921568627	1.587301587	6.382978723	0	2.941176471	0
low temperature environment	Low Temperature Environment	-0.3924	-0.0896	3	21	86	7	2005.428571	0	0.628930818	0.653594771	0	2.127659574	0	0	0
machine	Machine	-0.0832	0.0089	1	41	120	7	2014	0	1.257861635	0	0	0	0	2.941176471	0
manufacture	Manufacture	-0.2882	-0.0719	1	32	90	10	2002.5	0.595238095	0.628930818	0.653594771	0	0	0	0	0
manufacturing method	Manufacturing Method	-0.2057	-0.0702	1	39	94	12	2008.583333	0	0.628930818	4.575163399	3.174603175	0	0	0	0
marine environment	Marine Environment	0.5382	-0.1009	4	34	364	16	2011.4375	8.333333333	0	0	0	0	0	0	0
marine vessel	Marine Vessel	0.5131	-0.0242	4	11	86	8	2011.75	1.785714286	0	0	0	0	0	0	0
material	Material	-0.1922	-0.0357	1	130	476	42	2011.571429	1.785714286	3.773584906	1.960784314	0	2.127659574	0	0	5.263157895
meal	Meal	-0.6004	-0.0371	2	66	260	15	2015.333333	0	1.886792453	0	0	0	0	0	0
meat	Meat	-0.4683	-0.0438	2	69	222	13	2014.692308	0	2.51572327	0	0	0	0	0	0
medicine	Medicine	-0.5109	-0.1506	3	63	186	19	2013.052632	0	3.773584906	0.653594771	0	2.127659574	0	5.882352941	0
metabolite	Metabolite	-0.5323	-0.1806	3	30	92	8	2014.125	0	1.886792453	0	0	0	0	5.882352941	0
methane	Methane	0.0239	0.0523	1	34	126	7	2016.285714	1.19047619	0	1.307189542	0	0	0	0	0
microalga	Microalga	-0.2466	-0.1443	6	18	54	7	2013.285714	0	0	3.267973856	0	10.63829787	0	2.941176471	0
MICRO-ORGANISM	Micro-Organism	-0.6083	-0.195	3	43	190	11	2008.818182	1.19047619	3.773584906	0	0	0	0	0	0
mineral	Mineral	-0.4105	-0.0595	2	49	134	7	2011.142857	0.595238095	0.628930818	0	0	0	0	0	0
mobile	Mobile	0.6246	0.0252	9	11	108	5	2007	1.785714286	0	0	0	0	0	0	0
modular storage platforms	Modular Storage Platforms	1.6071	-0.7089	7	22	546	13	2008.461538	2.976190476	0	0	0	0	0	0	0
MODULAR STRUCTURE	Modular Structure	1.5769	-0.2446	7	20	266	9	2004.111111	2.380952381	0	0	0	0	0	0	0
module	Module	0.1096	-0.2088	6	26	152	9	2008.222222	0.595238095	0	0	0	0	0	0	0
MODULE SUPPORT DRILLING	Module Support Drilling	1.6001	-0.2348	7	17	276	9	2002.444444	2.380952381	0	0	0	0	0	0	0
moisture	Moisture	-0.1984	0.0243	1	48	152	8	2009.75	0	0.628930818	0.653594771	0	0	0	0	0
molecular weight	Molecular Weight	-0.5568	-0.0949	2	47	130	11	2016.454545	0	1.886792453	0	0	0	0	0	0
moon pool	Moon Pool	2.2014	-0.127	8	29	206	6	2011	2.380952381	0	0.653594771	1.587301587	0	10.52631579	0	0
moonpool	Moonpool	0.3496	0.0732	9	27	304	14	2011	2.380952381	0	7.843137255	15.87301587	0	0	0	0
mooring	Mooring	0.5954	-0.1051	4	35	308	13	2008	3.571428571	0	0.653594771	0	0	0	0	0
mooring line	Mooring Line	0.6692	-0.1134	4	25	284	11	2012	4.761904762	0	0.653594771	0	0	0	0	0
mooring system	Mooring System	0.6731	-0.1197	4	21	256	8	2011.25	3.571428571	0	0	0	0	0	0	0
MULTIFUNCTIONAL PLATFORM MODULE	Multifunctional Platform Module	1.5554	-0.2493	7	14	138	5	2005	1.19047619	0	0	0	0	0	0	0
multi-purpose construction module	Multi-Purpose Construction Module	0.1284	-0.2638	6	13	120	5	2007.4	0	0	0	0	0	0	0	0
mutation	Mutation	-0.6083	-0.1948	3	43	190	11	2008.818182	1.19047619	3.773584906	0	0	0	0	0	0
MYADS	Myads	0.6247	0.0246	9	11	108	5	2007	1.785714286	0	0	0	0	0	0	0
natural gas	Natural Gas	-0.0211	0.0207	1	42	154	9	2016.555556	1.19047619	0	0.653594771	1.587301587	0	0	0	0
natural material	Natural Material	-1.5057	0.1406	5	19	276	8	2011.375	0	0	4.575163399	0	14.89361702	0	0	0
nature	Nature	-0.208	0.0377	1	53	126	7	2010.571429	0	0	1.307189542	0	0	0	0	0
navigation	Navigation	0.0915	-0.0407	1	27	60	7	2013.571429	0.595238095	0	0.653594771	0	0	0	2.941176471	0
n-hexane	N-Hexane	-0.4809	0.0151	2	44	198	10	2013.4	0	4.402515723	0	0	0	0	0	0
nitric oxide	Nitric Oxide	-1.5044	0.1407	5	19	276	8	2011.375	0	0	4.575163399	0	14.89361702	0	0	0
nitrogen	Nitrogen	-0.2326	0.0056	1	77	226	14	2015.142857	1.785714286	1.257861635	0	0	0	0	0	0
nucleic acid	Nucleic Acid	-0.8937	-0.3948	3	53	582	21	2007.285714	5.357142857	0.628930818	0	0	0	0	0	0
NUCLEIC ACID SEQUENCE	Nucleic Acid Sequence	-0.8987	-0.3968	3	26	344	13	2004.846154	4.166666667	0	0	0	0	0	0	0
nutrient	Nutrient	-0.5169	-0.0378	2	56	154	10	2016.9	0	0	0.653594771	0	0	0	0	0
nutrition	Nutrition	-0.5494	-0.0454	2	62	214	13	2015.615385	0	0.628930818	0	0	0	0	0	0
obesity	Obesity	-1.0805	-0.0617	5	8	72	6	2011.5	0	0	2.614379085	0	12.76595745	0	0	0
ocean	Ocean	-0.0003	-0.0543	1	60	260	22	2011.590909	1.19047619	0	3.921568627	0	10.63829787	0	0	10.52631579
offshore	Offshore	0.5563	-0.0163	4	13	82	6	2011.666667	2.380952381	0	0	0	0	0	0	0
OFFSHORE ACTIVITY	Offshore Activity	0.6243	0.0249	9	11	108	5	2007	1.785714286	0	0	0	0	0	0	0
offshore drilling location	Offshore Drilling Location	0.935	0.041	4	9	74	5	2016.2	0	0	0	0	0	0	0	0
OFFSHORE REGION	Offshore Region	0.5695	-0.0216	4	7	70	5	2014	2.380952381	0	0	0	0	0	0	0
offshore structure	Offshore Structure	0.1761	0.0278	1	30	96	9	2007.333333	0	0	3.921568627	7.936507937	0	0	0	0
oil	Oil	0.2792	-0.0277	1	169	926	54	2010.388889	5.952380952	3.144654088	0.653594771	0	0	2.631578947	0	0
oil product	Oil Product	0.0692	-0.0444	1	42	134	8	2009.375	0	0	0	0	0	0	0	0
oil spill	Oil Spill	-0.0637	-0.0346	1	20	112	6	2010.333333	2.976190476	0	0	0	0	0	0	0
oil well	Oil Well	0.445	0.274	4	6	40	5	1998.6	0.595238095	0	0	0	0	0	0	0
ongoing revenue	Ongoing Revenue	0.1607	1.3915	10	24	464	10	2004.1	1.19047619	0	0	0	0	0	0	0
open water	Open Water	2.4172	-0.1607	8	47	1726	52	2011.365385	20.83333333	0.628930818	0	0	0	78.94736842	0	0
operator	Operator	0.1294	-0.0598	1	206	1260	70	2009.328571	6.547619048	5.660377358	2.614379085	4.761904762	0	0	2.941176471	5.263157895
organic molecules	Organic Molecules	-0.36	-0.4018	6	22	196	6	1991.166667	2.380952381	0	0	0	0	0	0	0
organic solvent	Organic Solvent	-0.4241	0.0056	2	83	508	21	2012.142857	0	6.289308176	0.653594771	0	0	0	0	0
outer surface	Outer Surface	0.0712	-0.186	6	56	212	14	2011.142857	1.19047619	1.257861635	1.307189542	1.587301587	0	5.263157895	0	0
outer wall	Outer Wall	0.0649	0.0544	1	19	38	5	2012.6	0	0	1.960784314	3.174603175	0	0	0	0
outside air	Outside Air	0.3256	0.066	9	37	326	15	2011.2	2.380952381	0	8.496732026	17.46031746	0	0	0	0
overexpression	Overexpression	-0.8949	-0.3041	3	18	156	6	2004	2.976190476	0	0	0	0	0	0	0
oxidation-related diseases	Oxidation-Related Diseases	-1.1904	0.0673	5	10	104	7	2009	0	0	3.267973856	0	12.76595745	0	0	0
oxide	Oxide	-0.501	0.0198	2	20	58	5	2016.4	0	0.628930818	0	0	0	0	0	0
oxygen	Oxygen	-0.1551	0.068	1	38	96	6	2010.666667	0	2.51572327	0	0	0	0	0	0
packaging	Packaging	-0.3807	-0.0539	2	35	88	7	2016.285714	0	0.628930818	0	0	0	0	0	0
parallel	Parallel	-0.0655	-0.0052	1	27	54	7	2013.571429	0	2.51572327	0	0	0	0	2.941176471	0
peptide	Peptide	-0.6605	-0.263	3	75	382	20	2008.2	4.166666667	1.257861635	0.653594771	0	2.127659574	0	0	0
performing enzymolysis	Performing Enzymolysis	-0.5339	-0.0433	2	42	114	7	2016.714286	0	2.51572327	0	0	0	0	0	0
pH value	Ph Value	-0.4898	-0.0628	2	40	104	9	2015.333333	0	1.257861635	0	0	0	0	2.941176471	5.263157895
pharmaceutical composition	Pharmaceutical Composition	-1.1566	0.0294	5	45	536	30	2008.7	0.595238095	0	13.07189542	0	51.06382979	0	0	0
pharmaceutics	Pharmaceutics	-1.0114	-0.0598	5	15	60	5	2009.6	0	0	1.307189542	0	6.382978723	0	0	0
PHOSPHATASE	Phosphatase	-0.9427	-0.2494	3	23	186	9	2006.666667	2.976190476	0	1.307189542	0	6.382978723	0	0	0
phospholipid content	Phospholipid Content	-0.4478	0.0025	2	59	276	12	2013.833333	0	2.51572327	0	0	0	0	0	0
pipe	Pipe	0.1118	-0.0143	1	36	82	7	2011.714286	0	0	1.307189542	0	0	0	0	0
PIPELINE BURIAL	Pipeline Burial	0.5695	-0.0214	4	7	70	5	2014	2.380952381	0	0	0	0	0	0	0
